模板类型,业务域,表名/代码集,中文名称,字段/状态码,字段中文名/状态名称,类型/长度,是否主键,是否必填,默认值,取值范围/状态流转,业务规则,来源PBL/对象,接口映射(预留),备注
实体,视图/报表,all_list_v,,,,,,,,,,itsm.pbl/dddw_item_choose.srd; itsm.pbl/w_r_itsm_accessup.srw; itsm.pbl/w_r_itsm_accessup4pos.srw,,来源=代码/旧字典，待实库校验
实体,ITSM,plan_biz_v,,,,,,,,,,report.pbl/d_xs_openrep.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,plan_cust,,,,,,,,,,itsm.pbl/u_itsm_open.sru; itsm.pbl/u_itsm_renovate.sru; itsm.pbl/w_r_itsm_d2d.srw,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,sys_role_user,,,,,,,,,,app_system.pbl/u_mc_user.sru; app_system.pbl/w_r_mc_areauser.srw,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,sys_user,,,,,,,,,,app_system.pbl/u_mc_user.sru; app_system.pbl/w_r_mc_areauser.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tac01_acreceive,,,,,,,,,,new_deposit.pbl/u_trans_in_ed1.sru; sale.pbl/nvo_saleservice.sru; trans.pbl/u_trans_in.sru,,来源=代码/旧字典，待实库校验
实体,未分类,tac01_fpsk,,,,,,,,,,lsgldata.pbl/d_ac_fpsk_edit.srd; lsgldata.pbl/d_ac_fpsk_list.srd; lsgldata.pbl/d_ac_fpsk_report.srd,,来源=代码/旧字典，待实库校验
实体,未分类,tac11_paydays,,,,,,,,,,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tac12_credlimit,,,,,,,,,,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tac13_credlimitdt,,,,,,,,,,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tht01_htgl,,,,,,,,,,lsgldata.pbl/d_ht_htgl_edit.srd; lsgldata.pbl/d_ht_htgl_list.srd; lsgldata.pbl/d_ht_htgl_query.srd,,来源=代码/旧字典，待实库校验
实体,未分类,tip01_price,,,,,,,,,,base_cust.pbl/d_ip_itemprice_grid.srd; base_cust.pbl/d_mm_items_list.srd,,来源=代码/旧字典，待实库校验
实体,未分类,tip03_adjprice,,,,,,,,,,price.pbl/d_mm_adjprice_condition.srd; price.pbl/d_mm_adjprice_detail.srd; price.pbl/w_r_mm_adjprice.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tip05_custdiscount,,,,,,,,,,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tip07_costprictrack,,,,,,,,,,new_deposit.pbl/u_plan_report.sru; report.pbl/u_pc_history.sru; report.pbl/u_pc_history_d.sru,,来源=代码/旧字典，待实库校验
实体,未分类,tip08_monthcost,,,,,,,,,,wh_syc.pbl/w_r_wh_overlost.srw,,来源=代码/旧字典，待实库校验
实体,ITSM,tit01_timepoint_area,,,,,,,,,,base_srv.pbl/gf_gettimept.srf; base_srv.pbl/gf_gettimept_bk.srf; itsm02.pbl/d_itsm_tp_levels_free.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit01_timepoint_cust,,,,,,,,,,base_srv.pbl/gf_gettimept_bk.srf,,来源=代码/旧字典，待实库校验
实体,ITSM,tit02_liabilityreg,,,,,,,,,,itsm.pbl/d_itsm_liab_free.srd; itsm.pbl/d_itsm_liab_list.srd; itsm.pbl/u_itsm_liab.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit02_liabilityregdt,,,,,,,,,,itsm.pbl/d_itsm_liabdt_free.srd; itsm.pbl/d_itsm_liabdt_list.srd; itsm.pbl/u_itsm_archivecode.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit03_syscodes,,,,,,,,,,itsm02.pbl/d_itsm_syscodes_form.srd; itsm02.pbl/u_itsm_maintenance_daily.sru; itsm02.pbl/u_itsm_maintenance_daily_yc.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit04_archivecode,,,,,,,,,,itsm.pbl/d_itsm_archivecode_4_list.srd; itsm.pbl/d_itsm_archivecode_free.srd; itsm.pbl/d_itsm_archivecode_free_four.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit05_repairinfo,,,,,,,,,,itsm.pbl/d_itsm_repdt_list01.srd; itsm.pbl/d_itsm_repdt_list02.srd; itsm.pbl/u_itsm_repairinfo.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit06_userarea,,,,,,,,,,app_d.pbl/d_mc_areausers.srd; app_d.pbl/d_mc_userarea_grid.srd; app_system.pbl/u_mc_user.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit10_main_track,,,,,,,,,,itsm.pbl/d_whd_report_ex.srd; new_deposit.pbl/d_whd_report_startup.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit10_maintenance_liability,,,,,,,,,,itsm.pbl/d_itsm_rep_comrate.srd; itsm.pbl/u_itsm_rcwh_h.sru; itsm.pbl/u_itsm_rcwh_ve.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit10_maintenanceday,,,,,,,,,,itsm.pbl/d_itsm_day_archive_free.srd; itsm.pbl/d_itsm_day_archive_list.srd; itsm.pbl/d_itsm_rep_archive_list.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit10_pos_detail,,,,,,,,,,new_deposit.pbl/d_itsm_posdetail_ed1.srd; trans.pbl/d_itsm_posdetail.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit11_maintenance_attc,,,,,,,,,,itsm.pbl/d_attc.srd; itsm.pbl/u_itsm_rcwh_ve.sru; kq.pbl/u_itsm_wzx.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit12_maintenance_archive,,,,,,,,,,itsm.pbl/d_itsm_archive_free.srd; itsm.pbl/d_itsm_archive_list.srd; itsm.pbl/d_itsm_day_archive_list.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit13_maintenance_open,,,,,,,,,,itsm.pbl/d_maintenance_open_free.srd; itsm.pbl/d_maintenance_open_list.srd; itsm.pbl/d_maintenance_open_one.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit14_equipment_open,,,,,,,,,,itsm.pbl/d_itsm_equopen_free.srd; itsm.pbl/d_itsm_equopen_list.srd; itsm.pbl/u_itsm_open.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit15_equipment_renovate,,,,,,,,,,itsm.pbl/d_itsm_renovate_free.srd; itsm.pbl/d_itsm_renovate_list.srd; itsm.pbl/u_itsm_renovate.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit15_maintenance_renovate,,,,,,,,,,itsm.pbl/d_maintenance_renovate_free.srd; itsm.pbl/d_maintenance_renovate_list.srd; itsm.pbl/d_maintenance_renovate_one.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit16_device_change,,,,,,,,,,itsm.pbl/d_divechange_report.srd; itsm02.pbl/d_itsm_device_change_grid.srd; itsm02.pbl/d_itsm_device_change_grid_list.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit17_cust_pos_daily,,,,,,,,,,itsm02.pbl/u_itsm_maintenance_daily.sru; itsm02.pbl/u_itsm_maintenance_daily_yc.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit17_maintenance,,,,,,,,,,itsm02.pbl/d_itsm_maintenance_daily_form.srd; itsm02.pbl/d_itsm_maintenance_daily_form_yc.srd; itsm02.pbl/d_itsm_maintenance_daily_grid.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit17_maintenance_plan,,,,,,,,,,itsm02.pbl/d_itsm_maintenance_plan_ym_report.srd; itsm02.pbl/u_itsm_maintenance_plan.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit18_store_close,,,,,,,,,,app_main.pbl/w_m_appmain.srw; itsm.pbl/d_storeclose_report.srd; itsm02.pbl/d_itsm_store_close_grid.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit19_on_choosedt,,,,,,,,,,itsm02.pbl/d_itsm_pos_r_eid_choose.srd; itsm02.pbl/d_itsm_pos_r_eid_choose_new.srd; itsm02.pbl/d_itsm_pos_r_eid_choose_old.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit21_maintenance_dispatch,,,,,,,,,,itsm.pbl/d_dispatch.srd; itsm.pbl/d_dispatch_free.srd; itsm.pbl/u_itsm_rcwh_h.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit22_fetion_send,,,,,,,,,,itsm.pbl/d_dispatch.srd; itsm.pbl/d_fetion.srd; itsm.pbl/d_fetion_free.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit23_maintenance_d2d,,,,,,,,,,itsm.pbl/d_divechange_report.srd; itsm.pbl/d_free_report.srd; itsm.pbl/d_maintenance_d2d.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit24_maintenance_rv,,,,,,,,,,itsm.pbl/d_maintenance_rv.srd; itsm.pbl/u_itsm_open.sru; itsm.pbl/u_itsm_rcwh_h.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit25_accessories_update,,,,,,,,,,itsm.pbl/d_accessup.srd; itsm.pbl/d_accessup4pos_free.srd; itsm.pbl/d_accessup_free.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit26_paylist,,,,,,,,,,itsm.pbl/d_maintenance_pay.srd; itsm.pbl/d_maintenance_pay_free.srd; itsm02.pbl/d_itsm_accessories_update_report.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit27_close_bills,,,,,,,,,,itsm.pbl/u_itsm_open.sru; itsm.pbl/u_itsm_rcwh_h.sru; itsm.pbl/u_itsm_rcwh_ve.sru,,来源=代码/旧字典，待实库校验
实体,ITSM,tit28_free_replace,,,,,,,,,,itsm.pbl/d_free_report.srd; itsm02.pbl/d_itsm_free_replace_dt_list.srd; itsm02.pbl/d_itsm_free_replace_form.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit28_free_replace_dt,,,,,,,,,,itsm.pbl/w_r_itsm_d2d.srw; itsm02.pbl/d_itsm_free_replace_dt_form.srd; itsm02.pbl/d_itsm_free_replace_dt_grid.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,tit29_noclose_track,,,,,,,,,,itsm.pbl/d_itsm_noclose_track.srd; itsm.pbl/d_itsm_noclose_track_free.srd; itsm.pbl/d_noclose.srd,,来源=代码/旧字典，待实库校验
实体,未分类,tiv01_invlimit,,,,,,,,,,new_deposit.pbl/d_inv_limit_grid.srd; new_deposit.pbl/d_iv_invlimit.srd; new_deposit.pbl/u_inv_limit.sru,,来源=代码/旧字典，待实库校验
实体,未分类,tiv02_invlimit_hi,,,,,,,,,,new_deposit.pbl/w_invlimit_edit.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tiv11_detail,,,,,,,,,,itsm.pbl/w_r_itsm_accessup.srw; itsm.pbl/w_r_itsm_accessup4pos.srw; itsm.pbl/w_r_itsm_d2d.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tiv12_detaildt,,,,,,,,,,new_deposit.pbl/u_plan_report.sru; report.pbl/u_pc_history.sru; report.pbl/u_pc_history_d.sru,,来源=代码/旧字典，待实库校验
实体,未分类,tiv30_shopcheckplan,,,,,,,,,,itsm02.pbl/w_r_ex_gh.srw; sale.pbl/w_r_ex_audit_direct.srw; sale.pbl/w_r_ex_bill.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tiv33_ovbill,,,,,,,,,,base_srv.pbl/d_iv_txovb.srd,,来源=代码/旧字典，待实库校验
实体,未分类,tkq01_attendance,,,,,,,,,,kq.pbl/d_kq_free.srd; kq.pbl/dddd.srd; kq.pbl/u_kq_imp.sru,,来源=代码/旧字典，待实库校验
实体,未分类,tkq02_attendancecount,,,,,,,,,,kq.pbl/d_kq_tj.srd; kq.pbl/d_kq_tj_bk.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc01_menus,,,,,,,,,,app_d.pbl/d_mc_funcd_groupright.srd; app_d.pbl/d_mc_menu_form.srd; app_d.pbl/d_mc_menu_right.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc02_menusdt,,,,,,,,,,app_objects.pbl/nvo_appservice.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc03_usermenus,,,,,,,,,,app_d.pbl/d_mc_menus_user_list.srd; app_d.pbl/d_mc_usermenu_grid.srd; app_d.pbl/d_mc_usermenu_update.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc11_departments,,,,,,,,,,app_d.pbl/d_mc_dept_form.srd; app_d.pbl/d_mc_dept_list.srd; app_dddw.pbl/dd_mc_dept.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc12_groups,,,,,,,,,,app_d.pbl/d_mc_groups_form.srd; app_d.pbl/d_mc_groups_list.srd; app_d.pbl/d_mc_usergroup.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc13_users,,,,,,,,,,app_d.pbl/d_mc_areausers.srd; app_d.pbl/d_mc_groupusers.srd; app_d.pbl/d_mc_user_form.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc21_usergroup,,,,,,,,,,app_d.pbl/d_mc_groupuser_grid.srd; app_d.pbl/d_mc_groupusers.srd; app_d.pbl/d_mc_menu_right.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc22_userbusityp,,,,,,,,,,app_d.pbl/d_mc_busityp_form.srd; app_system.pbl/u_mc_user.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc31_groupright,,,,,,,,,,app_d.pbl/d_mc_funcd_groupright.srd; app_d.pbl/d_mc_groupright.srd; app_d.pbl/d_mc_menu_right.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc41_acclog,,,,,,,,,,,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc42_connectinfo,,,,,,,,,,app_objects.pbl/nvo_myappsrv.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc43_logs,,,,,,,,,,app_objects.pbl/nvo_appservice.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc44_syslock,,,,,,,,,,,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc51_verctrl,,,,,,,,,,app_main.pbl/w_m_appmain.srw; app_objects.pbl/nvo_myappsrv.sru; app_system.pbl/u_mc_uploadfile.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmc71_sysparm,,,,,,,,,,app_objects.pbl/nvo_myappsrv.sru; sale.pbl/nvo_saleservice.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm01_company,,,,,,,,,,app_d.pbl/d_mc_company.srd; app_objects.pbl/nvo_appservice.sru; app_objects.pbl/nvo_myappsrv.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm02_country,,,,,,,,,,app_d.pbl/d_mm_country_form.srd; app_d.pbl/d_mm_country_list.srd; app_dddw.pbl/dd_mm_country.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm03_province,,,,,,,,,,app_d.pbl/d_mm_province_form.srd; app_d.pbl/d_mm_province_list.srd; app_dddw.pbl/dd_mm_province.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm04_city,,,,,,,,,,app_d.pbl/d_mm_city_form.srd; app_dddw.pbl/dd_mm_city.srd; app_system.pbl/u_mm_province.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm05_town,,,,,,,,,,app_d.pbl/d_mm_town_form.srd; app_d.pbl/d_mm_town_list.srd; app_system.pbl/u_mm_city.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm11_itemclass,,,,,,,,,,app_objects.pbl/nvo_app_selectdata.sru; base_cust.pbl/d_mm_bomclass_list.srd; base_cust.pbl/d_mm_itemclass_form.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm12_items,,,,,,,,,,app_dddw.pbl/dd_wh_itemname.srd; app_objects.pbl/nvo_app_selectdata.sru; appraisal.pbl/u_app_audit.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm13_itemunit,,,,,,,,,,app_dddw.pbl/dd_mm_itemunit_inuse.srd; app_objects.pbl/d_itemunits_input.srd; base_cust.pbl/d_mm_itemunit_grid.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm14_itembar,,,,,,,,,,base_cust.pbl/d_mm_itembar_grid.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm15_itemtaxrate,,,,,,,,,,base_cust.pbl/d_mm_itemtaxrate_list.srd; base_cust.pbl/w_r_mm_editbom.srw; base_cust.pbl/w_r_mm_edititem.srw,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm18_supplierclass,,,,,,,,,,base_cust.pbl/d_mm_supplier_form.srd; base_cust.pbl/u_mm_supplier.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm19_suppliers,,,,,,,,,,app_objects.pbl/nvo_app_selectdata.sru; appraisal.pbl/u_app_audit.sru; appraisal.pbl/u_app_manage.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm21_custclass,,,,,,,,,,app_dddw.pbl/dd_mm_custclass_useflg.srd; app_objects.pbl/nvo_app_selectdata.sru; base_cust.pbl/d_mm_custclass_form.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm22_customers,,,,,,,,,,app_dddw.pbl/dd_mm_cust_card.srd; app_dddw.pbl/dd_mm_custclass_anm.srd; app_objects.pbl/nvo_app_selectdata.sru,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm23_address,,,,,,,,,,app_dddw.pbl/dd_mm_address.srd; base_cust.pbl/u_mm_address.sru; itsm02.pbl/w_r_ex_gh.srw,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm24_custitems,,,,,,,,,,app_objects.pbl/nvo_app_selectdata.sru; purchase.pbl/w_r_pc_register_input.srw,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm31_syscodes,,,,,,,,,,app_d.pbl/d_mc_busityp_form.srd; app_d.pbl/d_mm_syscodes_form.srd; app_d.pbl/d_mm_syscodes_list.srd,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,tmm32_syscodesdt,,,,,,,,,,,,来源=代码/旧字典，待实库校验
