映射ID,PB模块目录,PB函数或事件,PB SQL片段标识,目标Repository方法,目标模型,事务边界Service,输入参数,输出结构,一致性校验SQL,校验结果,迁移状态,备注
S100,purchase.pbl,u_pc_plan,采购计划列表查询,PcPlanRepository.list_pc_plans,TPC01_PCPLAN,PcPlanService.list_pc_plans,pcplanid|slbillid|pctyp|auditflg|page|page_size,采购计划列表,"SELECT * FROM TPC01_PCPLAN WHERE 1=1 ORDER BY PCPLANID DESC OFFSET :offset ROWS FETCH NEXT :page_size ROWS ONLY",待执行,进行中,来源：数据库表结构推断
S101,purchase.pbl,u_pc_plan,采购计划详情查询,PcPlanRepository.get_pc_plan,TPC01_PCPLAN,PcPlanService.get_pc_plan,pcplanid,采购计划详情,"SELECT * FROM TPC01_PCPLAN WHERE PCPLANID = :pcplanid",待执行,进行中,来源：数据库表结构推断
S102,purchase.pbl,u_pc_plan,采购计划创建,PcPlanRepository.create_pc_plan,TPC01_PCPLAN,PcPlanService.create_pc_plan,pcplanid|slbillid|pctyp|ptimes|opercd,创建结果,"INSERT INTO TPC01_PCPLAN (PCPLANID, SLBILLID, PCTYP, PTIMES, OPERCD, AUDITFLG) VALUES (:pcplanid, :slbillid, :pctyp, :ptimes, :opercd, '0')",待执行,进行中,来源：数据库表结构推断
S103,purchase.pbl,u_pc_plan,采购计划更新,PcPlanRepository.update_pc_plan,TPC01_PCPLAN,PcPlanService.update_pc_plan,pcplanid|pctyp|ptimes|auditflg,更新结果,"UPDATE TPC01_PCPLAN SET PCTYP = :pctyp, PTIMES = :ptimes, AUDITFLG = :auditflg WHERE PCPLANID = :pcplanid",待执行,进行中,来源：数据库表结构推断
S104,purchase.pbl,u_pc_plan,采购计划删除,PcPlanRepository.delete_pc_plan,TPC01_PCPLAN,PcPlanService.delete_pc_plan,pcplanid,删除结果,"DELETE FROM TPC01_PCPLAN WHERE PCPLANID = :pcplanid",待执行,进行中,来源：数据库表结构推断
S001,itsm.pbl,u_itsm_open|u_itsm_renovate|u_itsm_archive,维修单查询与状态管理,MaintenanceRepository.get_by_id|list_maintenances,TIT10_MAINTENANCEDAY,MaintenanceService,maintenance_id|cust_cd|status,维修单详情/列表,"SELECT * FROM TIT10_MAINTENANCEDAY WHERE MAINTENANCE_ID=:maintenance_id",待执行,进行中,来源：itsm.pbl维修单管理；结合优化2统一状态机
S028,itsm.pbl,u_itsm_open.oe_update|u_itsm_renovate.oe_update,维修单创建,MaintenanceRepository.create_maintenance,TIT10_MAINTENANCEDAY,MaintenanceService.create_maintenance,maintenance_info|oper_cd,新维修单ID,"INSERT INTO TIT10_MAINTENANCEDAY (...) VALUES (...)",待执行,进行中,来源：优化2统一入口
S029,itsm.pbl,u_itsm_open|u_itsm_renovate,维修单状态流转,MaintenanceRepository.update_status,TIT10_MAINTENANCEDAY,MaintenanceService.transition_state|dispatch|start_work|complete|cancel,maintenance_id|old_status|new_status|oper_cd,更新结果,"UPDATE TIT10_MAINTENANCEDAY SET CURRENT_STATUS=:new_status WHERE MAINTENANCE_ID=:maintenance_id AND CURRENT_STATUS=:old_status",待执行,进行中,来源：优化2统一状态机
S030,itsm.pbl,TIT10_MAIN_TRACK,维修单状态日志记录,MaintenanceRepository.log_status_change,TIT10_MAIN_TRACK,MaintenanceService,maintenance_id|memo,记录结果,"INSERT INTO TIT10_MAIN_TRACK (...) VALUES (...)",待执行,进行中,来源：状态变更审计日志
S031,itsm.pbl,StateMachine,统一状态机模型,StateMachine,MaintenanceService,from_status|to_status,验证结果,"状态流转规则定义",待执行,进行中,来源：优化2核心设计
S002,sale.pbl,,,,,,,,,,,
S003,wh.pbl,,,,,,,,,,,
S004,app_main.pbl,u_functionlist.of_retrievemenus,d_mc_menu_Right.Retrieve,MenuRepository.fetch_menus,TMC01_MENUS,ShellService.list_menus,user_id,菜单列表,"SELECT MenuCd,MenuNm,Parent,LevelCd,ChildFlg,OrdNo,PicName,ExePath,OpenFlg FROM TMC01_MENUS",待执行,进行中,来源：u_functionlist.sru
S005,app_main.pbl,u_functionlist.of_retrievemenus,d_mc_menus_user_list.Retrieve,MenuRepository.fetch_user_menus,TMC03_USERMENUS,ShellService.list_menus,user_id,用户常用菜单编码列表,"SELECT MenuCd FROM TMC03_USERMENUS WHERE UserCd=:user_id",待执行,进行中,来源：u_functionlist.sru
S006,app_main.pbl,u_functionlist.of_openmodule,按MenuCd查可打开对象,MenuRepository.get_menu_by_code,TMC01_MENUS,ShellService.get_open_object_info,user_id|menu_code,打开对象信息,"SELECT MenuNm,ExePath,PicName,OpenFlg,ChildFlg FROM TMC01_MENUS WHERE MenuCd=:menu_code",待执行,进行中,来源：u_functionlist.sru 与 u_startpage.sru
S007,app_main.pbl,w_m_appmain.oe_openobject,打开对象并记录,OpenedModulesRepository.add_module,内存对象,ShellService.open_object,user_id|menu_code|multi_open,已开模块信息,"INSERT INTO opened_modules ...",待执行,进行中,来源：w_m_appmain.srw 事件
S008,app_main.pbl,w_m_appmain.oe_closeobject,关闭指定对象,OpenedModulesRepository.remove_module,内存对象,ShellService.close_object,user_id|object_name,关闭结果,"DELETE FROM opened_modules ...",待执行,进行中,来源：w_m_appmain.srw 事件
S009,app_main.pbl,w_m_appmain.oe_closeactiveobject,关闭活动对象,OpenedModulesRepository.remove_active,内存对象,ShellService.close_active_object,user_id,被关闭模块信息,"DELETE FROM opened_modules ... ORDER BY opened_at DESC",待执行,进行中,来源：w_m_appmain.srw 事件
S010,app_main.pbl,d_openedmodules,已开模块列表查询,OpenedModulesRepository.list_modules,内存对象,ShellService.list_opened_modules,user_id,已开模块列表,"SELECT object,object_index,title,opened_at FROM opened_modules WHERE user_id=:user_id",待执行,进行中,来源：d_openedmodules.srd DataWindow
S011,base_srv.pbl,w_r_logon.oe_default|nvo_appmanager.oe_logon,用户登录验证,AuthRepository.verify_user,TMC20_USERS,AuthService.login,user_id|password,用户信息,"SELECT UserCd,UserNm,Password,Status FROM TMC20_USERS WHERE UserCd=:user_id AND Status='1'",待执行,进行中,来源：w_r_logon.srw / nvo_appmanager.sru
S012,base_srv.pbl,nvo_appmanager.oe_postlogon|of_getuserid,用户组查询,AuthRepository.get_user_groups,TMC21_USERGROUP|TMC30_GROUPS,AuthService.login,user_id,用户组列表,"SELECT g.GroupCd,g.GroupNm FROM TMC21_USERGROUP ug JOIN TMC30_GROUPS g ON ug.GroupCd=g.GroupCd WHERE ug.UserCd=:user_id",待执行,进行中,来源：nvo_appmanager.sru 权限逻辑
S013,base_srv.pbl,nvo_appmanager.of_getuserid|of_getusername,会话查询,AuthService.get_session,内存会话,AuthService.get_session,token,会话信息,"SELECT token,user_code,user_name,groups FROM sessions WHERE token=:token",待执行,进行中,来源：nvo_appmanager.sru 会话管理
S014,app_system.pbl,u_mc_groups|w_r_mc_groupuser,用户组查询,UserGroupRepository.list_groups,TMC30_GROUPS,UserGroupService.list_groups,,用户组列表,"SELECT GroupCd,GroupNm,GroupType,UseFlg FROM TMC30_GROUPS WHERE UseFlg='1'",待执行,进行中,来源：u_mc_groups.sru / w_r_mc_groupuser.srw
S015,app_system.pbl,w_r_mc_groupuser,用户组内用户查询,UserGroupRepository.get_group_users,TMC21_USERGROUP|TMC20_USERS,UserGroupService.get_group_detail,group_cd,组内用户,"SELECT u.UserCd,u.UserNm,u.Status FROM TMC21_USERGROUP ug JOIN TMC20_USERS u ON ug.UserCd=u.UserCd WHERE ug.GroupCd=:group_cd",待执行,进行中,来源：w_r_mc_groupuser.srw
S016,app_system.pbl,w_r_mc_groupright,组权限查询,UserGroupRepository.get_group_rights,TMC31_GroupRight,UserGroupService.get_group_detail,group_cd,组权限,"SELECT GroupCd,MenuCd,FuncCd,Scale FROM TMC31_GroupRight WHERE GroupCd=:group_cd AND UseFlg='1'",待执行,进行中,来源：w_r_mc_groupright.srw
S017,app_system.pbl,u_mc_usermenu|u_functionlist,用户菜单权限聚合,UserGroupRepository.get_user_menu_rights,TMC01_MENUS|TMC31_GroupRight|TMC21_USERGROUP,UserGroupService.get_user_menus_with_rights,user_id,菜单权限列表,"SELECT m.*,MAX(gr.Scale) FROM TMC01_MENUS m JOIN TMC31_GroupRight gr ON m.MenuCd=gr.MenuCd JOIN TMC21_USERGROUP ug ON gr.GroupCd=ug.GroupCd WHERE ug.UserCd=:user_id GROUP BY m.MenuCd",待执行,进行中,来源：u_mc_usermenu.sru / u_functionlist.sru
S018,base_cust.pbl,u_mm_customer.dw_data::oe_retrieve,客户列表查询,CustomerRepository.list_customers,TMM22_CUSTOMERS,CustomerService.list_customers,status|use_flg,客户列表,"SELECT * FROM TMM22_CUSTOMERS WHERE (:status IS NULL OR CUSTOMER_STATUS=:status) ORDER BY GENDATE DESC",待执行,进行中,来源：u_mm_customer.sru；结合优化1客户生命周期
S019,base_cust.pbl,w_customers_newdata.oe_update,新建临时客户,CustomerRepository.create_temp_from_plan,TMM22_CUSTOMERS,CustomerService.create_temp_from_preplan,preplan_id|cust_info|oper_cd,新客户代码,"INSERT INTO TMM22_CUSTOMERS (...) VALUES (...)",待执行,进行中,来源：w_customers_newdata.srw；结合优化1
S020,base_cust.pbl,u_mm_customer|w_customers_newdata,客户转正/作废,CustomerRepository.transition_status,TMM22_CUSTOMERS,CustomerService.promote_to_active|mark_invalid,cust_cd|old_status|new_status|oper_cd,更新结果,"UPDATE TMM22_CUSTOMERS SET CUSTOMER_STATUS=:new_status, VERIFIED_AT=SYSDATE WHERE CUSTCD=:cust_cd",待执行,进行中,来源：结合优化1客户生命周期流转
S021,base_cust.pbl,TMM35_CUST_POS_RL,门店资产查询,AssetRepository.list_assets,TMM35_CUST_POS_RL,AssetService.list_assets,cust_cd|eid,资产列表,"SELECT * FROM TMM35_CUST_POS_RL WHERE CUSTCD=:cust_cd AND USEFLG='1'",待执行,进行中,来源：base_cust.pbl资产配置；结合优化4
S022,base_cust.pbl,TMM35_CUST_POS_RL,可回收资产查询,AssetRepository.get_recyclable_assets,TMM35_CUST_POS_RL,AssetService.get_recyclable_assets|should_create_recycle_task,cust_cd,可回收资产列表,"SELECT * FROM TMM35_CUST_POS_RL WHERE CUSTCD=:cust_cd AND ASSET_TYPE IN ('OLD','RENOVATED') AND RECYCLABLE_FLAG='1' AND RECYCLE_STATUS='NONE'",待执行,进行中,来源：结合优化4可回收判定
S023,base_cust.pbl,TMM35_CUST_POS_RL,标记可回收资产,AssetRepository.mark_recyclable,TMM35_CUST_POS_RL,AssetService.mark_recyclable,cust_cd|plan_type,标记数量,"UPDATE TMM35_CUST_POS_RL SET RECYCLABLE_FLAG='1', RECYCLE_STATUS='PENDING' WHERE CUSTCD=:cust_cd",待执行,进行中,来源：结合优化4预计划触发
S024,base_cust.pbl,TIT20_RECYCLE_TASK,创建回收任务,RecycleTaskRepository.create_task,TIT20_RECYCLE_TASK|TIT20_RECYCLE_TASK_DTL,RecycleTaskService.create_from_plan,plan_no|plan_type|cust_cd|assets,回收任务ID,"INSERT INTO TIT20_RECYCLE_TASK (...) VALUES (...)",待执行,进行中,来源：新建表；优化4回收任务独立化
S025,base_cust.pbl,TIT20_RECYCLE_TASK,回收任务状态流转,RecycleTaskRepository.assign_task|start_recycle|complete_recycle|cancel_task,TIT20_RECYCLE_TASK,RecycleTaskService,TASK_STATUS更新,更新结果,"UPDATE TIT20_RECYCLE_TASK SET TASK_STATUS=:status,... WHERE RECYCLE_ID=:recycle_id",待执行,进行中,来源：新建表；优化4回收任务状态机
S026,sale.pbl,PLAN_CUST,预计划查询,PreplanRepository.get_by_no|list_preplans,PLAN_CUST,PreplanService,plan_no|plan_status|imple_status,预计划详情,"SELECT * FROM PLAN_CUST WHERE PLANNO=:plan_no",待执行,进行中,来源：sale.pbl预计划管理；结合优化1客户联动
S027,sale.pbl,PLAN_CUST,预计划状态更新,PreplanRepository.update_status|update_imple_status|update_cust_cd,PLAN_CUST,PreplanService,plan_no|status|oper_cd,更新结果,"UPDATE PLAN_CUST SET PLAN_STATUS=:plan_status,IMPLE_STATUS=:imple_status WHERE PLANNO=:plan_no",待执行,进行中,来源：sale.pbl预计划审批与实施
S032,itsm.pbl,w_r_itsm_rv|w_r_itsm_d2d,设备变更单查询,DeviceChangeRepository.get_by_id|list_device_changes,TIT16_DEVICE_CHANGE,DeviceChangeService,device_change_id|store_id|change_type,变更单详情/列表,"SELECT * FROM TIT16_DEVICE_CHANGE WHERE DEVICE_CHANGE_ID=:device_change_id",待执行,进行中,来源：itsm.pbl设备变更管理；单据类型BG
S033,itsm.pbl,u_itsm_rep_opchfr,设备变更单创建,DeviceChangeRepository.create_device_change,TIT16_DEVICE_CHANGE,DeviceChangeService.create_device_change,device_info|oper_cd,新变更单ID,"INSERT INTO TIT16_DEVICE_CHANGE (...) VALUES (...)",待执行,进行中,来源：优化新增磁卡号历史记录
S034,itsm.pbl,CHANGE_TYPE='CK',磁卡号变更执行,DeviceChangeRepository._execute_card_change|create_history_record,TMM22_CUSTOMERS|TMM22_CUSTOMERS_HISTORY,DeviceChangeService.complete_change,device_change_id|store_id|old_card|new_card,执行结果,"INSERT INTO TMM22_CUSTOMERS_HISTORY (...) VALUES (...); UPDATE TMM22_CUSTOMERS SET CUSTCARD=:new_card",待执行,进行中,来源：优化核心-磁卡号变更历史保存
S035,itsm.pbl,d_divechange_report.srd,磁卡号历史查询,DeviceChangeRepository.get_history_by_card,TMM22_CUSTOMERS_HISTORY,DeviceChangeService.get_card_change_history,custcard,历史记录列表,"SELECT * FROM TMM22_CUSTOMERS_HISTORY WHERE CUSTCARD=:custcard OR OLD_CUSTCARD=:custcard OR NEW_CUSTCARD=:custcard",待执行,进行中,来源：优化核心-解决老系统无法查询旧磁卡号问题
S036,itsm.pbl,d_maintenance_open_free.srd,新机开通单查询,MaintenanceOpenRepository.get_by_id|list_maintenance_opens,TIT13_MAINTENANCE_OPEN,MaintenanceOpenService,new_opening_id|store_id|status,开通单详情/列表,"SELECT * FROM TIT13_MAINTENANCE_OPEN WHERE NEW_OPENING_ID=:new_opening_id",待执行,进行中,来源：itsm.pbl新机开通；单据类型MO
S037,itsm.pbl,u_itsm_open,新机开通单创建,MaintenanceOpenRepository.create_maintenance_open,TIT13_MAINTENANCE_OPEN,MaintenanceOpenService.create_maintenance_open,open_info|oper_cd,新开通单ID,"INSERT INTO TIT13_MAINTENANCE_OPEN (...) VALUES (...)",待执行,进行中,来源：单据类型MO主表CRUD
S038,itsm.pbl,d_maintenance_renovate_free.srd,旧机翻新单查询,MaintenanceRenovateRepository.get_by_id|list_maintenance_renovates,TIT15_MAINTENANCE_RENOVATE,MaintenanceRenovateService,renovate_id|store_id|status,翻新单详情/列表,"SELECT * FROM TIT15_MAINTENANCE_RENOVATE WHERE RENOVATE_ID=:renovate_id",待执行,进行中,来源：itsm.pbl旧机翻新；单据类型MR
S039,itsm.pbl,u_itsm_renovate,旧机翻新单创建,MaintenanceRenovateRepository.create_maintenance_renovate,TIT15_MAINTENANCE_RENOVATE,MaintenanceRenovateService.create_maintenance_renovate,renovate_info|oper_cd,新翻新单ID,"INSERT INTO TIT15_MAINTENANCE_RENOVATE (...) VALUES (...)",待执行,进行中,来源：单据类型MR主表CRUD
S040,itsm.pbl,d_itsm_maintenance_daily_form.srd,日常保养单查询,MaintenanceDailyRepository.get_by_id|list_maintenance_dailies,TIT17_MAINTENANCE,MaintenanceDailyService,daily_maintenance_id|store_id|status,保养单详情/列表,"SELECT * FROM TIT17_MAINTENANCE WHERE DAILY_MAINTENANCE_ID=:daily_maintenance_id",待执行,进行中,来源：itsm.pbl日常保养；单据类型BY
S041,itsm.pbl,u_itsm_archive,日常保养单创建,MaintenanceDailyRepository.create_maintenance_daily,TIT17_MAINTENANCE,MaintenanceDailyService.create_maintenance_daily,daily_info|oper_cd,新保养单ID,"INSERT INTO TIT17_MAINTENANCE (...) VALUES (...)",待执行,进行中,来源：单据类型BY主表CRUD
S042,itsm.pbl,u_itsm_open|u_itsm_archive,维护单配件明细子表,MaintenanceRepository.list_pos_details|create_pos_detail,TIT10_POS_DETAIL,MaintenanceService,maintenance_id|sm_id|device_id|accessories_id|creator,配件明细列表/新增结果,"SELECT * FROM TIT10_POS_DETAIL WHERE BILL_ID=:maintenance_id; INSERT INTO TIT10_POS_DETAIL (...) VALUES (...)",待执行,进行中,来源：P3子表首批落地（维护单换机配件明细）
S043,itsm.pbl,u_itsm_open|w_r_itsm_equ_open,开通设备明细子表,MaintenanceOpenRepository.list_equipment_opens|create_equipment_open,TIT14_EQUIPMENT_OPEN,MaintenanceOpenService,new_opening_id|business_operation_id|device_id|is_finish|creator,开通设备明细列表/新增结果,"SELECT * FROM TIT14_EQUIPMENT_OPEN WHERE NEW_OPENING_ID=:new_opening_id; INSERT INTO TIT14_EQUIPMENT_OPEN (...) VALUES (...)",待执行,进行中,来源：P3子表（提交前校验与主单存在性对齐PB）
S044,itsm.pbl,u_itsm_renovate|w_r_itsm_equ_renovate,翻新设备明细子表,MaintenanceRenovateRepository.list_equipment_renovates|create_equipment_renovate,TIT15_EQUIPMENT_RENOVATE,MaintenanceRenovateService,renovate_id|business_operation_id|device_id|new_device_id|is_finish|creator,翻新设备明细列表/新增结果,"SELECT * FROM TIT15_EQUIPMENT_RENOVATE WHERE RENOVATE_ID=:renovate_id; INSERT INTO TIT15_EQUIPMENT_RENOVATE (...) VALUES (...)",待执行,进行中,来源：P3子表补齐（旧机翻新设备映射）
S045,itsm.pbl,u_itsm_archive|d_itsm_maintenance_daily_form,保养设备明细子表,MaintenanceDailyRepository.list_cust_pos_daily|create_cust_pos_daily,TIT17_CUST_POS_DAILY,MaintenanceDailyService,daily_maintenance_id|business_operation_id|cust_cd|eid|item_cd|typflg|creator,保养设备明细列表/新增结果,"SELECT * FROM TIT17_CUST_POS_DAILY WHERE DAILY_MAINTENANCE_ID=:daily_maintenance_id; INSERT INTO TIT17_CUST_POS_DAILY (...) VALUES (...)",待执行,进行中,来源：P3子表补齐（日常保养设备明细）
S046,itsm.pbl,w_r_itsm_d2d,上门服务记录公用表,MaintenanceD2DRepository.list_d2d_records|create_d2d_record,TIT23_MAINTENANCE_D2D,MaintenanceD2DService,maintenance_id|business_operation_id|d2d_engineer|arrive_time|leave_time|d2d_type|creator,上门服务记录列表/新增结果,"SELECT * FROM TIT23_MAINTENANCE_D2D WHERE MAINTENANCE_ID=:maintenance_id; INSERT INTO TIT23_MAINTENANCE_D2D (...) VALUES (...)",待执行,进行中,来源：P4公用服务（被TIT10/TIT15/TIT17多单据复用）
S047,itsm02.pbl,u_itsm_store_close|d_itsm_store_close_form,门店关闭单查询,StoreCloseRepository.list_store_closes|get_store_close,TIT18_STORE_CLOSE,StoreCloseService,store_id|close_type|current_status|page|page_size,门店关闭单列表/详情,"SELECT * FROM TIT18_STORE_CLOSE WHERE NVL(USEFLG,'1')='1'; INSERT INTO TIT18_STORE_CLOSE (...) VALUES (...)",待执行,进行中,来源：M005 Phase 1首个单据（门店关闭单）
S048,itsm02.pbl,u_itsm_free_replace|d_itsm_free_replace_form,免费更换单主表查询与新增,FreeReplaceRepository.list_free_replaces|get_by_id|create_free_replace,TIT28_FREE_REPLACE,FreeReplaceService,renew_id|store_id|company_id|request_time|request_paper_id|old_device_id|new_device_id|deliver_no|count|expected_completion_time|creator,免费更换单列表/详情/新增结果,"SELECT * FROM TIT28_FREE_REPLACE WHERE RENEW_ID=:renew_id; INSERT INTO TIT28_FREE_REPLACE (...) VALUES (...)",待执行,进行中,来源：M005 Phase 1免费更换主表落地
S049,itsm02.pbl,w_r_itsm_replace|d_itsm_free_replace_dt_grid,免费更换设备明细子表查询与新增,FreeReplaceRepository.list_free_replace_details|create_free_replace_detail,TIT28_FREE_REPLACE_DT,FreeReplaceService,renew_id|business_operation_id|device_id|new_device_id|delivery_id|is_finish|creator,免费更换设备明细列表/新增结果,"SELECT * FROM TIT28_FREE_REPLACE_DT WHERE RENOVATE_ID=:renew_id; INSERT INTO TIT28_FREE_REPLACE_DT (...) VALUES (...)",待执行,进行中,来源：M005 Phase 1免费更换子表落地
S050,itsm02.pbl,u_itsm_free_replace.pb_cancel|pb_close,免费更换作废与关单约束,FreeReplaceRepository.count_details_by_finish|count_revisit_records|update_status|insert_close_bill,TIT28_FREE_REPLACE|TIT24_MAINTENANCE_RV|TIT27_CLOSE_BILLS,FreeReplaceService.cancel_free_replace|close_free_replace,renew_id|oper_cd,作废/关单结果,"SELECT COUNT(*) FROM TIT28_FREE_REPLACE_DT WHERE RENOVATE_ID=:renew_id AND IS_FINISH='1'; SELECT COUNT(*) FROM TIT24_MAINTENANCE_RV WHERE MAINTENANCE_ID=:renew_id; SELECT COUNT(*) FROM TIT28_FREE_REPLACE_DT WHERE RENOVATE_ID=:renew_id AND IS_FINISH='0'; INSERT INTO TIT27_CLOSE_BILLS (...) VALUES (...)",待执行,进行中,来源：PB约束对齐（作废前已提交校验/关单前回访与未提交校验/关单写入）
S051,itsm02.pbl,u_itsm_liability|d_itsm_liability_main|d_itsm_liability_form,免责处理列表与详情,LiabilityRepository.list_liabilities|get_liability,TIT10_MAINTENANCE_LIABILITY|TIT10_MAINTENANCEDAY,LiabilityService,begin_date|end_date|maintenance_id|exemptflg|type|is_finish|page|page_size,免责处理列表/详情,"SELECT ... FROM TIT10_MAINTENANCEDAY D, TIT10_MAINTENANCE_LIABILITY A WHERE D.MAINTENANCE_ID=A.MAINTENANCE_ID ...; SELECT ... FROM TIT10_MAINTENANCE_LIABILITY WHERE MAINTENANCE_ID=:maintenance_id AND TYPE=:liability_type",待执行,进行中,来源：M005 liability主列表与编辑页查询口径
S052,itsm02.pbl,w_r_itsm_liability.oe_preupdate,免责处理保存（分配/处理）,LiabilityRepository.save_liability,TIT10_MAINTENANCE_LIABILITY,LiabilityService.save_liability,maintenance_id|type|scene|exceptionscd|exceptionsnm|deptnm|assessflg|exemptflg|oper_cd,免责处理保存结果,"MERGE INTO TIT10_MAINTENANCE_LIABILITY ... WHEN MATCHED UPDATE ... WHEN NOT MATCHED INSERT ...",待执行,进行中,来源：PB保存规则对齐（exemptflg=Y需exceptionscd；分配/处理写is_finish=1/2）
S053,itsm02.pbl,u_itsm_liability.uo_buttons.oe_doview,免责处理审核,LiabilityRepository.batch_update_is_finish,TIT10_MAINTENANCE_LIABILITY,LiabilityService.audit_liabilities,maintenance_ids|oper_cd,免责处理审核结果,"UPDATE TIT10_MAINTENANCE_LIABILITY SET IS_FINISH='3' WHERE MAINTENANCE_ID IN (...) AND IS_FINISH='2'",待执行,进行中,来源：PB批量审核动作对齐
S054,itsm02.pbl,w_r_itsm_liability.of_get_liab,免责科目字典查询,LiabilityRepository.list_liability_dictionary,TIT02_LIABILITYREG|TIT02_LIABILITYREGDT,LiabilityService.list_liability_dictionary,class_code_like,免责科目字典列表,"SELECT B.LIABCD, A.LIABNM, B.DEFINE FROM TIT02_LIABILITYREG A, TIT02_LIABILITYREGDT B WHERE A.LIABCD=B.LIABCD AND A.USEFLG='1' AND B.USEFLG='1' ...",待执行,进行中,来源：PB选择科目查询口径
S055,itsm02.pbl,u_ex_gh.dw_data::oe_retrieve|d_ex_gh_browse,旧机翻新计划列表与详情,ExGhRepository.list_ex_ghs|get_ex_gh|list_ex_gh_details,TSL01_EXTEND|TSL02_EXTENDDT,ExGhService,begin_date|end_date|custcd|auditflg|useflg|opbillid|page|page_size,旧机翻新计划列表/详情,"SELECT ... FROM TSL01_EXTEND WHERE SLTYP='GH' ... ORDER BY OPBILLID DESC, IMPDATE DESC; SELECT ... FROM TSL02_EXTENDDT WHERE OPBILLID=:opbillid",待执行,进行中,来源：PB浏览窗口检索与查看窗口明细查询口径
S056,itsm02.pbl,w_r_ex_gh.oe_postopen|dw_master.of_update,旧机翻新计划新增主表,ExGhRepository.create_ex_gh,TSL01_EXTEND,ExGhService.create_ex_gh,opbillid|slbillid|custcd|opercd|busityp|itemcd|impdate|traindate|backup,新增结果,"INSERT INTO TSL01_EXTEND (OPBILLID,SLBILLID,CUSTCD,...,SLTYP='GH',USEFLG='1',AUDITFLG='0') VALUES (...)",待执行,进行中,来源：PB新增窗口主表保存动作
S057,itsm02.pbl,w_r_ex_gh.dw_item|d_ex_gh_detail,旧机翻新计划新增明细,ExGhRepository.create_ex_gh_detail,TSL02_EXTENDDT,ExGhService.create_ex_gh_detail,opbillid|custcd|planqty|opqty|clqty|useflg|impdate|traindate|newaddress|newcustcd|eid|address|newcustcard|custcard,新增明细结果,"INSERT INTO TSL02_EXTENDDT (OPBILLID,CUSTCD,PLANQTY,OPQTY,CLQTY,USEFLG,...) VALUES (...)",待执行,进行中,来源：PB明细页保存动作口径
S058,itsm02.pbl,u_ex_gh.uo_buttons::oe_dobutton1,旧机翻新计划批量送审,ExGhRepository.submit_audit,TSL01_EXTEND,ExGhService.submit_audit,opbillids|opercd,送审结果,"UPDATE TSL01_EXTEND SET AUDITFLG='1',OPERCD=:opercd,AUDITDATE=SYSDATE,AUDITMAN=:opercd WHERE OPBILLID IN (...) AND SLTYP='GH' AND AUDITFLG='0' AND NVL(USEFLG,'1')='1'",待执行,进行中,来源：PB送审按钮（仅未送审且有效）
S059,itsm02.pbl,u_ex_gh.uo_buttons::oe_dobutton2,旧机翻新计划作废与数量回写,ExGhRepository.invalidate_ex_gh,TSL01_EXTEND|TSL02_EXTENDDT|TSL10_SLBILL,ExGhService.invalidate_ex_gh,opbillid|slbillid|opercd,作废结果,"UPDATE TSL01_EXTEND SET USEFLG='9' WHERE OPBILLID=:opbillid; SELECT NVL(SUM(PLANQTY),0) FROM TSL02_EXTENDDT WHERE OPBILLID=:opbillid; UPDATE TSL10_SLBILL SET PLANQTY=NVL(PLANQTY,0)-:planqty WHERE SLBILLID=:slbillid",待执行,进行中,来源：PB作废规则（当日且未审核通过）与回写计划数量
