映射ID,PB模块目录,PB函数或事件,PB SQL片段标识,目标Repository方法,目标模型,事务边界Service,输入参数,输出结构,一致性校验SQL,校验结果,迁移状态,备注
S060,itsm02.pbl,u_itsm_maintenance_plan.cb_1::clicked|d_itsm_maintenance_plan,保养计划列表查询,MaintenancePlanRepository.list_plans,TIT17_MAINTENANCE_PLAN,MaintenancePlanService.list_plans,plan_yymm|page|page_size,保养计划列表,"SELECT PLAN_Y,PLAN_YYMM,AREA_ID,PLAN_QTY,CREATE_TIME,CREATOR FROM TIT17_MAINTENANCE_PLAN WHERE PLAN_YYMM=:plan_yymm ORDER BY PLAN_YYMM,AREA_ID",待执行,进行中,来源：PB查询按钮按计划年月过滤
S061,itsm02.pbl,d_itsm_maintenance_plan_form,保养计划单条查询,MaintenancePlanRepository.get_plan,TIT17_MAINTENANCE_PLAN,MaintenancePlanService.get_plan,plan_yymm|area_id,保养计划详情,"SELECT PLAN_Y,PLAN_YYMM,AREA_ID,PLAN_QTY,CREATE_TIME,CREATOR FROM TIT17_MAINTENANCE_PLAN WHERE PLAN_YYMM=:plan_yymm AND AREA_ID=:area_id",待执行,进行中,来源：PB编辑窗口主键定位
S062,itsm02.pbl,u_itsm_maintenance_plan.uo_buttons::oe_doadd|oe_dosave,保养计划新增,MaintenancePlanRepository.create_plan,TIT17_MAINTENANCE_PLAN,MaintenancePlanService.create_plan,plan_yymm|area_id|plan_qty|creator,新增保养计划结果,"INSERT INTO TIT17_MAINTENANCE_PLAN (PLAN_Y,PLAN_YYMM,AREA_ID,PLAN_QTY,CREATE_TIME,CREATOR) VALUES (SUBSTR(:plan_yymm,1,4),:plan_yymm,:area_id,:plan_qty,SYSDATE,:creator)",待执行,进行中,来源：PB新增保存（历史年月不可新增）
S063,itsm02.pbl,u_itsm_maintenance_plan.uo_buttons::oe_doedit|oe_dosave,保养计划修改,MaintenancePlanRepository.update_plan_qty,TIT17_MAINTENANCE_PLAN,MaintenancePlanService.update_plan_qty,plan_yymm|area_id|plan_qty,修改保养计划结果,"UPDATE TIT17_MAINTENANCE_PLAN SET PLAN_QTY=:plan_qty WHERE PLAN_YYMM=:plan_yymm AND AREA_ID=:area_id",待执行,进行中,来源：PB修改保存（历史年月不可修改）
S064,itsm02.pbl,u_itsm_maintenance_plan.uo_buttons::oe_dodelete,保养计划删除,MaintenancePlanRepository.delete_plan,TIT17_MAINTENANCE_PLAN,MaintenancePlanService.delete_plan,plan_yymm|area_id,删除保养计划结果,"DELETE FROM TIT17_MAINTENANCE_PLAN WHERE PLAN_YYMM=:plan_yymm AND AREA_ID=:area_id",待执行,进行中,来源：PB删除按钮（历史年月不可删除）
S065,itsm02.pbl,u_itsm_maintenance_plan.cb_2::clicked,保养计划按年生成,MaintenancePlanRepository.exists_by_yymm|generate_month_plans,TIT17_MAINTENANCE_PLAN|TMM46_AREA,MaintenancePlanService.generate_year,plan_y|creator,按年生成结果,"SELECT 1 FROM TIT17_MAINTENANCE_PLAN WHERE PLAN_YYMM=:plan_yymm; INSERT INTO TIT17_MAINTENANCE_PLAN (PLAN_Y,PLAN_YYMM,AREA_ID,PLAN_QTY,CREATE_TIME,CREATOR) SELECT :plan_y,:plan_yymm,ID,0,SYSDATE,:creator FROM TMM46_AREA",待执行,进行中,来源：PB生成功能（逐月生成，已存在月份跳过）
S066,itsm02.pbl,u_itsm_liability_sum.dw_data::oe_retrieve|d_itsm_liability_main,免责汇总列表查询,LiabilitySumRepository.list_liability_summaries,TIT10_MAINTENANCE_LIABILITY|TIT10_MAINTENANCEDAY,LiabilitySumService.list_liability_summaries,begin_date|end_date|store_id|maintenance_id|deptnm|exemptflg|liability_type|is_finish|page|page_size,免责汇总列表,"SELECT D.MAINTENANCE_ID,...,A.EXEMPTFLG,A.IS_FINISH,A.TYPE,A.DEPTNM FROM TIT10_MAINTENANCEDAY D,TIT10_MAINTENANCE_LIABILITY A WHERE D.MAINTENANCE_ID=A.MAINTENANCE_ID AND D.CURRENT_STATUS<>'9' AND A.USEFLG<>'0' ... ORDER BY A.EXEMPTFLG",待执行,进行中,来源：PB免责汇总主列表检索口径
S067,itsm02.pbl,u_itsm_liability_sum.dw_1::Retrieve|d_itsm_liability_list,免责汇总明细查询,LiabilitySumRepository.list_liability_details,TIT10_MAINTENANCE_LIABILITY,LiabilitySumService.list_liability_details,maintenance_id|liability_type,免责汇总明细列表,"SELECT MAINTENANCE_ID,EXCEPTIONSCD,EXCEPTIONSNM,DEPTNM,UPDDATE,OPERCD,ASSESSFLG,EXEMPTFLG,USEFLG,TYPE,(CASE WHEN USEFLG='1' THEN '修改' ELSE '' END) XG FROM TIT10_MAINTENANCE_LIABILITY WHERE MAINTENANCE_ID=:maintenance_id AND TYPE=:liability_type",待执行,进行中,来源：PB下方明细窗口联动查询
S068,itsm02.pbl,u_itsm_liability_sum.uo_buttons::oe_dobutton1,免责汇总批量审核,LiabilitySumRepository.batch_audit,TIT10_MAINTENANCE_LIABILITY,LiabilitySumService.batch_audit,records|oper_cd,批量审核结果,"UPDATE TIT10_MAINTENANCE_LIABILITY SET IS_FINISH='3',OPERCD=:oper_cd,UPDDATE=SYSDATE WHERE MAINTENANCE_ID=:maintenance_id AND TYPE=:liability_type AND NVL(USEFLG,'1')<>'0' AND NVL(IS_FINISH,'0')<>'3'",待执行,进行中,来源：PB审核按钮批量将已选记录置为已审核
S069,itsm02.pbl,u_itsm_pos_r_eid_update.dw_data::oe_retrieve|d_itsm_free_replace_dt_list,免费更换配置更新列表查询,PosREidUpdateRepository.list_updates,TIT28_FREE_REPLACE_DT|TIT28_FREE_REPLACE|TMM22_CUSTOMERS|TMM43_EID,PosREidUpdateService.list_updates,begin_date|end_date|custcard|renew_id|is_finish|page|page_size,配置更新待确认列表,"SELECT T.RENOVATE_ID,T.BUSINESS_OPERATION_ID,...,T.IS_FINISH FROM TIT28_FREE_REPLACE_DT T WHERE T.IS_FINISH<>'0' ... ORDER BY T.IS_FINISH,T.RENOVATE_ID",待执行,进行中,来源：PB查询按钮动态拼接条件检索口径
S070,itsm02.pbl,u_itsm_pos_r_eid_update.dw_old/dw_new::oe_retrieve|d_itsm_pos_r_eid_choose_old/new,旧新配件选择明细查询,PosREidUpdateRepository.list_old_choices|list_new_choices,TIT19_ON_CHOOSEDT|TMM12_ITEMS,PosREidUpdateService.get_choices,bill_id|business_id|old_eid|new_eid,旧新配件明细列表,"SELECT ... FROM TIT19_ON_CHOOSEDT T,TMM12_ITEMS M WHERE T.ITEMCD=M.ITEMCD AND T.OLDFLG='O'/'N' AND T.BILL_ID=:bill_id AND T.BUSINESS_ID=:business_id AND T.DEVICE_ID=:device_id",待执行,进行中,来源：PB上下分栏旧新配件联动检索口径
S071,itsm02.pbl,u_itsm_pos_r_eid_update.oe_preupdate,配置确认并回写状态,PosREidUpdateRepository.confirm_update,TMM44_POS_R_EID|TIT28_FREE_REPLACE_DT|TIT19_ON_CHOOSEDT,PosREidUpdateService.confirm_update,renew_id|business_operation_id|old_eid|new_eid|oper_cd,配置确认结果,"SELECT ITEMCD,ACCESSORIES_ID FROM TIT19_ON_CHOOSEDT WHERE CHOOSEFLG='1' ...; UPDATE TMM44_POS_R_EID SET POSID=:new_eid WHERE POSID=:old_eid AND ITEMCD=:itemcd AND EID=:accessories_id; UPDATE TIT28_FREE_REPLACE_DT SET IS_FINISH='2' WHERE RENOVATE_ID=:renew_id AND BUSINESS_OPERATION_ID=:business_operation_id",待执行,进行中,来源：PB确认动作（防重复+配置更新+is_finish回写）
S072,itsm02.pbl,u_itsm_liability_group.dw_data::oe_retrieve|d_itsm_liability_main,免责分部门列表查询,LiabilityGroupRepository.list_liability_groups,TIT10_MAINTENANCE_LIABILITY|TIT10_MAINTENANCEDAY|TMC13_USERS|TIT02_LIABILITYREG,LiabilityGroupService.list_liability_groups,user_cd|begin_date|end_date|store_id|maintenance_id|exemptflg|liability_type|is_finish|page|page_size,分部门免责列表,"SELECT ... FROM TIT10_MAINTENANCEDAY D,TIT10_MAINTENANCE_LIABILITY A WHERE D.MAINTENANCE_ID=A.MAINTENANCE_ID AND A.DEPTNM=(SELECT C.LIABCD ... ) AND A.IS_FINISH IN ('1','2') ...",待执行,进行中,来源：PB按用户部门过滤并限定处理状态口径
S073,itsm02.pbl,u_itsm_liability_group.dw_1::Retrieve|d_itsm_liability_list,免责分部门明细查询,LiabilityGroupRepository.list_details,TIT10_MAINTENANCE_LIABILITY,LiabilityGroupService.list_details,maintenance_id|liability_type,免责分部门明细列表,"SELECT MAINTENANCE_ID,EXCEPTIONSCD,EXCEPTIONSNM,DEPTNM,UPDDATE,OPERCD,ASSESSFLG,EXEMPTFLG,USEFLG,TYPE,IS_FINISH,(CASE WHEN USEFLG='1' THEN '修改' ELSE '' END) XG FROM TIT10_MAINTENANCE_LIABILITY WHERE MAINTENANCE_ID=:maintenance_id AND TYPE=:liability_type",待执行,进行中,来源：PB下方明细联动查询口径
S074,itsm02.pbl,u_itsm_liability_group.dw_1::clicked,免责分部门明细状态回显,LiabilityGroupRepository.get_is_finish,TIT10_MAINTENANCE_LIABILITY,LiabilityGroupService.save_detail,maintenance_id|liability_type,处理状态值,"SELECT IS_FINISH FROM TIT10_MAINTENANCE_LIABILITY WHERE MAINTENANCE_ID=:maintenance_id AND TYPE=:liability_type",待执行,进行中,来源：PB编辑后回显状态并限制已审核记录
S075,itsm02.pbl,u_itsm_liability_group.dw_1::oe_editrow,免责分部门明细保存,LiabilityGroupRepository.save_detail,TIT10_MAINTENANCE_LIABILITY,LiabilityGroupService.save_detail,maintenance_id|liability_type|oper_cd|exceptionscd|exceptionsnm|deptnm|assessflg|exemptflg,保存结果,"MERGE INTO TIT10_MAINTENANCE_LIABILITY ... WHEN MATCHED UPDATE ... WHEN NOT MATCHED INSERT ...",待执行,进行中,来源：PB明细编辑保存动作（已审核记录禁止修改）
S076,itsm02.pbl,u_itsm_device_change.cb_query::clicked|d_itsm_device_change_grid_list,设备变更扩展列表查询口径对齐,DeviceChangeRepository.list_device_changes,TIT16_DEVICE_CHANGE|TMM22_CUSTOMERS,DeviceChangeService.list_device_changes,store_id|custcard|begin_date|end_date|device_change_id|new_store_card|new_tel|change_type|status|page|page_size,设备变更扩展列表,"SELECT D.DEVICE_CHANGE_ID,...,C.CUSTCARD,C.CUSTNM FROM TIT16_DEVICE_CHANGE D,TMM22_CUSTOMERS C WHERE NVL(D.USEFLG,'1')='1' AND D.STORE_ID=C.CUSTCD(+) ... ORDER BY D.DEVICE_CHANGE_ID DESC",待执行,进行中,来源：PB查询条件（磁卡号/新磁卡号/单号/电话/日期）对齐
S077,itsm02.pbl,u_itsm_codetable.dw_data::oe_retrieve|d_itsm_syscode_list,代码项列表查询,CodeTableRepository.list_codes,TIT03_SYSCODES,CodeTableService.list_codes,codetyp|include_invalid|page|page_size,代码项列表,"SELECT CODETYP,CODECD,CODENM,MEMO,SYSFLG,OPERCD,GENDATE,UPDDATE,USEFLG,WHTRANSFLG,STTRANSFLG FROM TIT03_SYSCODES WHERE CODETYP=:codetyp ... ORDER BY CODECD",待执行,进行中,来源：PB代码表按类别检索口径
S078,itsm02.pbl,u_itsm_codetable.dw_data::oe_seteditdwattrib|d_itsm_syscodes_form,代码项详情查询,CodeTableRepository.get_code,TIT03_SYSCODES,CodeTableService.get_code,codetyp|codecd,代码项详情,"SELECT CODETYP,CODECD,CODENM,SYSFLG,OPERCD,GENDATE,UPDDATE,USEFLG,WHTRANSFLG,STTRANSFLG FROM TIT03_SYSCODES WHERE CODETYP=:codetyp AND CODECD=:codecd",待执行,进行中,来源：PB编辑窗口主键定位口径
S079,itsm02.pbl,u_itsm_codetable.dw_data::oe_editrow|oe_setadddwattrib,代码项保存,CodeTableRepository.save_code,TIT03_SYSCODES,CodeTableService.save_code,codetyp|codecd|codenm|memo|useflg|opercd,代码项保存结果,"MERGE INTO TIT03_SYSCODES ... WHEN MATCHED UPDATE ... WHEN NOT MATCHED INSERT ...",待执行,进行中,来源：PB新增/编辑保存口径
S080,itsm02.pbl,u_itsm_codetable.dw_data::oe_predeleterow,代码项作废,CodeTableRepository.invalidate_code,TIT03_SYSCODES,CodeTableService.invalidate_code,codetyp|codecd|opercd,代码项作废结果,"SELECT SYSFLG FROM TIT03_SYSCODES WHERE CODETYP=:codetyp AND CODECD=:codecd; UPDATE TIT03_SYSCODES SET USEFLG='0' ... WHERE NVL(SYSFLG,'N')<>'Y'",待执行,进行中,来源：PB系统代码不可删除约束
S081,itsm02.pbl,u_itsm_timepoint_levels.dw_custclass::retrieve|d_itsm_tp_levels_list_query,时间点等级列表查询,TimepointLevelsRepository.list_levels,TIT01_TIMEPOINT_AREA,TimepointLevelsService.list_levels,include_invalid|page|page_size,时间点等级列表,"SELECT LEVELS,EXPLAIN,TIMEPOINT,BEFORETM,AFTERTM,OPERCD,GENDATE,UPDDATE,USEFLG FROM TIT01_TIMEPOINT_AREA WHERE ... ORDER BY LEVELS",待执行,进行中,来源：PB等级树数据窗口检索口径
S082,itsm02.pbl,u_itsm_timepoint_levels.dw_data::selectionchanged|d_itsm_cust_levels,按等级查询客户,TimepointLevelsRepository.list_customers_by_level,TMM22_CUSTOMERS,TimepointLevelsService.list_customers_by_level,levels|custcd|custnm|page|page_size,等级客户列表,"SELECT CUSTCD,CUSTNM,CUSTCARD,PHONENO,ADDRESS,LEVELS,OPERCD,GENDATE,UPDDATE,USEFLG FROM TMM22_CUSTOMERS WHERE NVL(USEFLG,'1')='1' AND NVL(LEVELS,'')=:levels ...",待执行,进行中,来源：PB按树节点等级过滤客户
S083,itsm02.pbl,u_itsm_timepoint_levels.dw_custclass::oe_editrow,时间点等级保存,TimepointLevelsRepository.save_level,TIT01_TIMEPOINT_AREA,TimepointLevelsService.save_level,levels|explain|timepoint|beforetm|aftertm|opercd|useflg,等级定义保存结果,"MERGE INTO TIT01_TIMEPOINT_AREA ... WHEN MATCHED UPDATE ... WHEN NOT MATCHED INSERT ...",待执行,进行中,来源：PB等级维护保存口径
S084,itsm02.pbl,u_itsm_timepoint_levels.dw_data::oe_postinsertrow,客户等级批量分配,TimepointLevelsRepository.assign_level_to_customers,TMM22_CUSTOMERS,TimepointLevelsService.assign_level_to_customers,levels|custcd_list|opercd,等级分配结果,"UPDATE TMM22_CUSTOMERS SET LEVELS=:levels,OPERCD=:opercd,UPDDATE=SYSDATE WHERE CUSTCD=:custcd AND NVL(USEFLG,'1')='1'",待执行,进行中,来源：PB批量选中客户写入等级
S085,itsm02.pbl,u_itsm_timepoint_levels.dw_data::oe_deleterow,客户等级批量清空,TimepointLevelsRepository.clear_customer_levels,TMM22_CUSTOMERS,TimepointLevelsService.clear_customer_levels,custcd_list|opercd,等级清空结果,"UPDATE TMM22_CUSTOMERS SET LEVELS='',OPERCD=:opercd,UPDDATE=SYSDATE WHERE CUSTCD=:custcd AND NVL(USEFLG,'1')='1'",待执行,进行中,来源：PB删除动作清空客户等级
S086,itsm02.pbl,u_itsm_wh_asset_c_a_audit.dw_data::oe_retrieve|d_asset_auditbill_browse,资产作废待审核列表查询,AssetAuditRepository.list_pending_audits,TWH19_ASSET_C_A|TMM22_CUSTOMERS,AssetAuditService.list_pending_audits,opbillid|custcd|custcard|sltyp|page|page_size,资产作废待审核列表,"SELECT A.OPBILLID,A.SLBILLID,A.CUSTCD,C.CUSTCARD,A.IMPDATE,A.TRAINDATE,A.BUSITYP,A.SLTYP,A.ITEMCD,A.OPERCD,A.BACKUP,A.GENDATE,A.USEFLG,A.AUDITFLG,A.AUDITMAN,A.AUDITDATE FROM TWH19_ASSET_C_A A LEFT JOIN TMM22_CUSTOMERS C ON C.CUSTCD=A.CUSTCD WHERE A.USEFLG<>'9' AND A.AUDITFLG='1' ...",待执行,进行中,来源：PB待审核作废单主列表口径
S087,itsm02.pbl,u_itsm_wh_asset_c_a_audit.dw_items::oe_retrieve|d_asset_auditbilldt,资产作废单明细查询,AssetAuditRepository.list_audit_details,TWH20_ASSET_C_A_DTL|TMM43_EID|TMM12_ITEMS|TMM22_CUSTOMERS,AssetAuditService.list_audit_details,opbillid|custcd_like,资产作废单明细列表,"SELECT D.OPBILLID,D.CUSTCARD,D.CUSTCD,C.CUSTNM,D.EID,E.ITEMCD,I.ITEMNM,D.PLANQTY,D.OPQTY,D.CLQTY,D.USEFLG,D.IMPDATE,D.TRAINDATE,D.NEWADDRESS,D.NEWCUSTCARD,D.NEWCUSTCD,D.ADDRESS FROM TWH20_ASSET_C_A_DTL D JOIN TMM43_EID E ON E.EID=D.EID JOIN TMM12_ITEMS I ON I.ITEMCD=E.ITEMCD JOIN TMM22_CUSTOMERS C ON C.CUSTCD=D.CUSTCD WHERE D.OPBILLID=:opbillid AND D.CUSTCD LIKE :custcd_like",待执行,进行中,来源：PB主从联动明细口径（BG场景custcd可为%）
S088,itsm02.pbl,u_itsm_wh_asset_c_a_audit.uo_buttons::oe_doedit,资产作废单审批,AssetAuditRepository.approve_audit,TWH19_ASSET_C_A|USP_ASSET_C_A,AssetAuditService.approve_audit,opbillid|custcd|opercd,资产作废审批结果,"UPDATE TWH19_ASSET_C_A SET AUDITFLG='2',AUDITMAN=:opercd,AUDITDATE=SYSDATE WHERE OPBILLID=:opbillid AND AUDITFLG='1' AND USEFLG<>'9'; BEGIN USP_ASSET_C_A(:opbillid,:custcd,:opercd); END;",待执行,进行中,来源：PB审批后调用库存处理过程
S089,itsm02.pbl,u_itsm_wh_asset_c_a_audit.uo_buttons::oe_dodelete,资产作废单作废,AssetAuditRepository.invalidate_audit,TWH19_ASSET_C_A,AssetAuditService.invalidate_audit,opbillid|opercd,资产作废单作废结果,"UPDATE TWH19_ASSET_C_A SET USEFLG='9',AUDITMAN=:opercd,AUDITDATE=SYSDATE WHERE OPBILLID=:opbillid AND USEFLG<>'9'",待执行,进行中,来源：PB作废按钮逻辑
S090,itsm02.pbl,u_itsm_wh_asset_c_a_audit.uo_buttons::oe_dobutton1,资产作废审核列表刷新,AssetAuditRepository.list_pending_audits,TWH19_ASSET_C_A|TMM22_CUSTOMERS,AssetAuditService.list_pending_audits,opbillid|custcd|custcard|sltyp|page|page_size,刷新后待审核列表,"SELECT ... FROM TWH19_ASSET_C_A A LEFT JOIN TMM22_CUSTOMERS C ON C.CUSTCD=A.CUSTCD WHERE A.USEFLG<>'9' AND A.AUDITFLG='1' ...",待执行,进行中,来源：PB刷新按钮重取主列表
S091,itsm02.pbl,u_itsm_rep_dispatch.cb_query::clicked|d_itsm_dispatch_report,分派报表查询,DispatchReportRepository.list_reports,TIT21_MAINTENANCE_DISPATCH|TIT10_MAINTENANCEDAY|TMM22_CUSTOMERS,DispatchReportService.list_reports,start_date|end_date|maintenance_id|custcard|custnm|accpectd_group|accpectder|page|page_size,分派报表列表,"SELECT M.MAINTENANCE_ID,C.CLASSCD,C.CUSTCARD,C.CUSTNM,C.PHONENO,C.ADDRESS,M.REQUEST_TIME,M.SHORT_DESCRIPTION,M.DETAIL_DESCRIPTION,U.ACCPECTD_GROUP,U.ACCPECTDER,U.DISPATCH_TIME,M.CREATOR,M.CREATE_TIME FROM TIT21_MAINTENANCE_DISPATCH U,TIT10_MAINTENANCEDAY M,TMM22_CUSTOMERS C WHERE U.MAINTENANCE_ID=M.MAINTENANCE_ID AND C.CUSTCD=M.STORE_ID AND U.DISPATCH_TIME>=:start_date AND U.DISPATCH_TIME<:end_date+1 ...",待执行,进行中,来源：PB分派报表按分派日期区间检索口径
S092,itsm02.pbl,u_itsm_rep_accessories_update.cb_query::clicked|d_itsm_accessories_update_report,配件更新报表查询,AccessoriesUpdateReportRepository.list_reports,TIT25_ACCESSORIES_UPDATE|TIT10_MAINTENANCEDAY|TMM22_CUSTOMERS|TMM35_CUST_POS_RL,AccessoriesUpdateReportService.list_reports,start_date|end_date|maintenance_id|store_id|custcard|itemcd|page|page_size,配件更新报表列表,"SELECT M.MAINTENANCE_ID,C.CLASSCD,C.CUSTCARD,C.CUSTNM,C.PHONENO,C.ADDRESS,M.REQUEST_TIME,M.SHORT_DESCRIPTION,M.DETAIL_DESCRIPTION,U.ENGINEER_ID,U.ACCESSORIES_TYPE,R.ITEMCD,U.OLD_ACCESSORIES_ID,U.NEW_ACCESSORIES_ID,U.PRICE,U.AUDITFLG,M.CREATOR,M.CREATE_TIME,M.STORE_ID FROM TIT25_ACCESSORIES_UPDATE U,TIT10_MAINTENANCEDAY M,TMM22_CUSTOMERS C,TMM35_CUST_POS_RL R WHERE U.MAINTENANCE_ID=M.MAINTENANCE_ID AND C.CUSTCD=M.STORE_ID AND R.EID=U.DEVICE_ID AND U.CREATE_TIME>=:start_date AND U.CREATE_TIME<:end_date+1 ...",待执行,进行中,来源：PB配件更新报表按时间范围检索口径
S093,itsm02.pbl,u_itsm_rep_liability.cb_query::clicked|d_itsm_rep_liability,责任认定报表主列表查询,RepLiabilityReportRepository.list_reports,TIT10_MAINTENANCEDAY|TIT10_MAINTENANCE_LIABILITY,RepLiabilityReportService.list_reports,start_date|end_date|maintenance_id|store_id|liability_type|exemptflg|is_finish|deptnm|page|page_size,责任认定报表主列表,"SELECT D.MAINTENANCE_ID,D.COMPANY_ID,D.STORE_ID,(SELECT C.CUSTNM FROM TMM22_CUSTOMERS C WHERE C.CUSTCD=D.STORE_ID) CUSTNM,D.REQUEST_TIME,D.SHORT_DESCRIPTION,D.DETAIL_DESCRIPTION,A.EXEMPTFLG,A.IS_FINISH,A.TYPE,A.DEPTNM,D.CREATOR,D.CREATE_TIME FROM TIT10_MAINTENANCEDAY D,TIT10_MAINTENANCE_LIABILITY A WHERE D.MAINTENANCE_ID=A.MAINTENANCE_ID AND D.CURRENT_STATUS<>'9' AND NVL(A.USEFLG,'1')<>'0' AND D.REQUEST_TIME>=:start_date AND D.REQUEST_TIME<:end_date+1 ...",待执行,进行中,来源：PB责任认定报表主列表检索口径
S094,itsm02.pbl,u_itsm_rep_liability.dw_data::rowfocuschanged|d_itsm_rep_liability_list,责任认定报表明细查询,RepLiabilityReportRepository.list_report_details,TIT10_MAINTENANCE_LIABILITY,RepLiabilityReportService.list_report_details,maintenance_id|liability_type,责任认定报表明细列表,"SELECT MAINTENANCE_ID,EXCEPTIONSCD,EXCEPTIONSNM,DEPTNM,UPDDATE,OPERCD,ASSESSFLG,EXEMPTFLG,USEFLG,TYPE FROM TIT10_MAINTENANCE_LIABILITY WHERE MAINTENANCE_ID=:maintenance_id AND TYPE=:liability_type ORDER BY UPDDATE DESC",待执行,进行中,来源：PB主从联动明细口径
S095,itsm02.pbl,u_itsm_rep_paper_averagel.cb_query::clicked|d_itsm_paper_ave_form_report,纸张平均报表聚合查询,PaperAverageReportRepository.list_reports,V_ITSM_PAPER_AVERAGEL_DB|TIT10_MAINTENANCE_LIABILITY|TIT23_MAINTENANCE_D2D|TMM46_AREA,PaperAverageReportService.list_reports,start_date|end_date|page|page_size,纸张平均报表列表,"SELECT AREANM,PAPER_ID,SUM(...) COUNT_ZS1,... FROM V_ITSM_PAPER_AVERAGEL_DB V LEFT JOIN TIT10_MAINTENANCE_LIABILITY L ON ... LEFT JOIN TIT23_MAINTENANCE_D2D D ON ... WHERE V.CREATE_TIME>=:start_date AND V.CREATE_TIME<:end_date+1 AND V.FAULT_TYPE='1' GROUP BY PAPER_ID ORDER BY NVL(AREANM,'ZZ'),LPAD(PAPER_ID,10,'0')",待执行,进行中,来源：PB工程师达标率报表聚合口径
S096,itsm02.pbl,u_itsm_rep_cust_info.cb_query::clicked|d_cust_info,客户信息报表查询,RepCustInfoRepository.list_reports,TMM21_CUSTCLASS|TMM22_CUSTOMERS|TMM46_AREA|TMM35_CUST_POS_RL,RepCustInfoService.list_reports,custcard|classcd|custnm|busityp|useflg|opendate_from|opendate_to|pptcode|zftype|page|page_size,客户信息报表列表,"SELECT t.custcd,t.custcard,c.classnm,t.custnm,t.address,t.phoneno,CASE WHEN t.busityp='ZS' THEN '直属' ELSE '延伸' END AS busityp,N.eid,N.itemcd,a.name AS areanm,... FROM tmm21_custclass c,tmm22_customers t,tmm46_area a,(SELECT p.custcd,MAX(p.itemcd),MAX(p.eid) FROM tmm35_cust_pos_rl p WHERE p.useflg='1' GROUP BY p.custcd) n WHERE n.custcd(+)=t.custcd AND t.classcd=c.classcd AND t.area=a.id ...",待执行,进行中,来源：PB d_cust_info DataWindow口径
S097,itsm02.pbl,u_itsm_rep_maintenance_daily.cb_query::clicked|d_itsm_maintenance_daily_report,日常保养报表查询,RepMaintenanceDailyRepository.list_reports,TIT17_MAINTENANCE|TMM22_CUSTOMERS|TIT17_CUST_POS_DAILY,RepMaintenanceDailyService.list_reports,start_date|end_date|custcard|classcd|engineer_id|current_status|itemcd|page|page_size,日常保养报表列表,"SELECT m.daily_maintenance_id,MAX(c.classcd),MAX(c.custcd),MAX(c.custcard),...,MAX(p.itemcd) FROM tit17_maintenance m,tmm22_customers c,tit17_cust_pos_daily p WHERE m.store_id=c.custcd AND m.daily_maintenance_id=p.daily_maintenance_id(+) AND m.create_time>=:start_date AND m.create_time<:end_date+1 ... GROUP BY m.daily_maintenance_id",待执行,进行中,来源：PB d_itsm_maintenance_daily_report DataWindow口径
S098,itsm02.pbl,u_itsm_rep_maintenance_daily_m.cb_query::clicked|d_itsm_maintenance_plan_report,日常维护月度汇总报表查询,RepMaintenanceDailyMRepository.list_reports,V_ITSM_MD_SUM,RepMaintenanceDailyMService.list_reports,start_date|end_date,月度汇总报表列表,"SELECT a.area,a.store_sum,a.store_sum1,a.count_sum,a.store_sum0,b.double_count FROM (SELECT area,SUM(store_sum),SUM(store_sum1),SUM(store_sum0),SUM(count_sum) FROM v_itsm_md_sum WHERE NVL(close_date,:start_date)>=:start_date AND NVL(close_date,:end_date)<=:end_date+1 GROUP BY area) a,(SELECT MAX(v.area),SUM(v.count_sum)-1 FROM v_itsm_md_sum v WHERE ... GROUP BY v.store_id HAVING SUM(v.count_sum)>1) b WHERE a.area=b.area(+)",待执行,进行中,来源：PB d_itsm_maintenance_plan_report DataWindow arguments=(START_DATE END_DATE)
S099,itsm02.pbl,u_itsm_rep_maintenance_daily_ym.cb_query::clicked|d_itsm_maintenance_plan_ym_report,日常维护年月汇总报表查询,RepMaintenanceDailyYmRepository.list_reports,TIT17_MAINTENANCE_PLAN|TIT17_MAINTENANCE|TMM22_CUSTOMERS,RepMaintenanceDailyYmService.list_reports,in_ym,年月汇总报表列表,"SELECT a.area,a.plan_qty,b.count_sum FROM (SELECT p.area_id,p.plan_qty FROM tit17_maintenance_plan p WHERE plan_yymm=:in_ym) a,(SELECT c.area,COUNT(*) FROM tit17_maintenance m,tmm22_customers c WHERE m.current_status='3' AND m.store_id=c.custcd AND m.close_time>TO_DATE(:in_ym,'YYYYMM') AND m.close_time<LAST_DAY(TO_DATE(:in_ym,'YYYYMM'))+1 GROUP BY c.area) b WHERE a.area=b.area(+)",待执行,进行中,来源：PB d_itsm_maintenance_plan_ym_report DataWindow arguments=(IN_YM string YYYYMM)


